"",The North American price for a barrel of oil dropped below 30 US on Monday as the prospect of a historic glut of crude weighed heavily on energy markets.,2020-03-16 23:21:00,The North American price for a barrel of oil dropped below 30 US on Monday as the prospect of a historic glut of crude weighed heavily on energy markets. At these prices,Agonizing: The prospect of a historic oil glut weighs on crude prices,I think most operators would find this agonizing
"",Canadas prison system has suspended all visits to inmates from the public in a move to prevent a potential COVID-19 outbreak.,2020-03-14 08:00:00,Canadas prison system has suspended all visits to inmates from the public in a move to prevent a potential COVID-19 outbreak. Correctional Service Canada issued a statement Saturday saying there are no coronavirus cases currently within the federal prison system. It said inmates could stay in touch with family and friends by telephone or video conference.  CSC has dedicated health care services in its institutions that have the knowledge and experience to handle cases of infectious diseases and respiratory illnesses,Canadas prison system suspends visits to prevent COVID-19 behind bars,such as COVID‑19
Ariana Kelland Is A Reporter With The Cbc Newfoundland,Follow Ariana Kelland On Twitter,More This Author,What parents paying for child care in N.L. need to know,Labrador Bureau In St. JohnS.,2020-03-24 13:36:00
"",2020-03-18 10:32:00,confirmed cases up to 94,A first person in Quebec has died from the novel coronavirus,Quebec announces first death from COVID-19,and the number of confirmed cases continues to jump
"",2020-03-18 16:45:00,businesses under new restrictions as N.S. announces more COVID-19 cases,Nova Scotia now has three confirmed and nine presumptive cases of COVID-19. Hospitals have also closed their doors to most visitors and a new list of businesses was told to cease operations.,Hospitals,Nova Scotia hospitals closed their doors to most visitors and a new list of businesses was told to cease operations as officials announced Wednesday the province now has three confirmed and nine presumptive cases of COVID-19. Five new cases were identified Tuesday
"",Data released by governments and citizens worldwide is helping researchers respond faster to a global crisis.,2020-03-17 23:38:00,In the early days of Canadas COVID-19 outbreak,The data-driven pandemic: Information sharing with COVID-19 is unprecedented,Elisa Baniassad was able to trace how new cases were spreading and plan her outings accordingly. When I plotted how the virus was being transmitted
"",2020-03-19 09:00:00,and who needs to be in the office?,To work from home or not to work from home. That is the question. The answer,Who can work from home,however
The Associated Press,The Federal Reserve took emergency action Sunday and slashed its benchmark interest rate by a full percentage point to nearly zero and announced it would purchase more Treasury securities to encourage lending to try to offset the impact of the coronavirus outbreak.,2020-03-15 21:16:00,The U.S. Federal Reserve took emergency action Sunday and slashed its benchmark interest rate by a full percentage point to nearly zero and announced it would purchase more Treasury securities to encourage lending to try to offset the impact of the coronavirus outbreak. The central bank said the effects of the outbreak will weigh on economic activity in the near term and pose risks to the economic outlook and it will keep rates at nearly zero until it feels confident the economy has weathered recent events. The Fed also said it will purchase 500 billion US of Treasury securities and 200 billion US of mortgage-backed securities to smooth over market disruptions that have made it hard for banks and large investors to sell Treasuries. The disruptions bumped up the yield on the 10-year Treasury last week,U.S. Federal Reserve slashes rate to near 0 in effort to offset COVID-19 impact,an unusual move that threatens to push borrowing costs for mortgages and credit cards higher. The Fed also said it has dropped its requirements that banks hold cash reserves in another move to encourage lending. In a similar move
Defence,Foreign Policy Parliament Hill For Over A Decade. Among Other Assignments,Based In Ottawa. He Has Covered The Canadian Military,He Spent A Total Of Months On The Ground Covering The Afghan War For The Canadian Press. Prior To That,Murray Brewster Is Senior Defence Writer For Cbc News,He Covered Defence Issues
Cbc News,A Google site will be used for the remainder of the school year,2020-03-23 08:58:00,but teachers will not be expected to give out grades.,School district launches online learning resource for stay-at-home students,The Newfoundland and Labrador English School District has launched a resource for parents and students to continue learning for the rest of the hampered school year. The platform is called Learning at Home: Good at Learning-Good at Life
Parliamentary Bureau,Tasker Is A Reporter In The CbcS Parliamentary Bureau In Ottawa. He Can Be Reached At John.Tasker Cbc.Ca.,J.P.,Follow J.P. On Twitter,John Paul,Trudeau says Canadians will be stranded abroad. Heres what travellers need to know
The Associated Press,The Federal Reserve took emergency action Sunday and slashed its benchmark interest rate by a full percentage point to nearly zero and announced it would purchase more Treasury securities to encourage lending to try to offset the impact of the coronavirus outbreak.,2020-03-15 21:16:00,The U.S. Federal Reserve took emergency action Sunday and slashed its benchmark interest rate by a full percentage point to nearly zero and announced it would purchase more Treasury securities to encourage lending to try to offset the impact of the coronavirus outbreak. The central bank said the effects of the outbreak will weigh on economic activity in the near term and pose risks to the economic outlook and it will keep rates at nearly zero until it feels confident the economy has weathered recent events. The Fed also said it will purchase 500 billion US of Treasury securities and 200 billion US of mortgage-backed securities to smooth over market disruptions that have made it hard for banks and large investors to sell Treasuries. The disruptions bumped up the yield on the 10-year Treasury last week,U.S. Federal Reserve slashes rate to near 0 in effort to offset COVID-19 impact,an unusual move that threatens to push borrowing costs for mortgages and credit cards higher. The Fed also said it has dropped its requirements that banks hold cash reserves in another move to encourage lending. In a similar move
Cbc News,The panic buying in Alberta has seen everything from pasta to toilet paper get snapped up in record numbers. And now,2020-03-24 14:00:00,some are turning to stockpiling guns and ammunition.,Alberta gun owners stocking up on ammunition during COVID-19 pandemic,The panic buying in Alberta has seen everything from pasta to toilet paper get snapped up in record numbers.  And now
Cbc News,As governments across the world respond to the spread of the novel coronavirus,2020-03-16 08:00:00, individuals have reacted with solidarity,How Canadians are helping each other amid the COVID-19 outbreak, offering support to neighbours within communities and across the country.
"",Italy’s death toll now exceeds 1,2020-03-16 08:00:00,800 people,Why Italy was hit so hard and so fast by COVID-19,the highest anywhere in the world outside China. Experts say Canada can take lessons from what happened there.
The Associated Press,2020-03-17 15:44:00,but COVID-19 poses new threat,Automakers face fast-moving new threats that seem beyond their control: Falling sales and sickened factory workers as the COVID-19 disease spreads through the U.S. and Europe.,Automakers dodged parts shortage,When the coronavirus cut off the flow of parts from China in early January
"",2020-03-14 17:01:00,1 new case in Burlington,Hamilton Public Health still doesn’t know if the baby’s parents are infected — and it don’t know if any of the other people with the novel coronavirus were in contact with others.,4 new cases of COVID-19 confirmed in Hamilton,Five new cases of COVID-19 cases have been confirmed in the Hamilton area as of Saturday evening. Four of the new cases are in Hamilton and one is in the Halton region. A three-month-old child
Cbc News,Over the past seven days,2020-03-20 10:00:00,life across Alberta has changed dramatically thanks to COVID-19. Take a listen to Episode 2 of CBC Edmontons new podcast,The Loop: The week Alberta changed,The Loop.
Ian Froese Is A Reporter With Cbc Manitoba. He Has Previously Worked For Newspapers In Brandon,Ian.Froese Cbc.Ca.,Email,Twitter,Steinbach. Story Idea,Manitoba government blocked from releasing budget for 3rd straight day
Cbc News,2020-03-18 12:00:00,2020,The reality of the public health emergency is setting in across B.C.,What you need to know about COVID-19 in B.C. on March 18,as businesses close and streets clear out to prevent the spread of the novel coronavirus.
Cbc News,Yukon Premier Sandy Silver announced a 4-million support package to deal with the economic impacts of COVID-19. Health officials said Monday there are still has no confirmed cases in the territory.,2020-03-16 18:00:00,The Yukon government announced a series of measures on Monday to deal with the COVID-19 pandemic and its economic impacts. Health officials said Monday there are still no confirmed cases of the novel coronavirus known as COVID-19 in the territory,Yukon government announces 4M support package for COVID-19,and urged people to self-isolate as much as possible to slow any spread of the coronavirus. Premier Sandy Silver announced a 4-million support package to deal with some of the economic fallout. It will be used for
Cbc News,P.E.I. Premier Dennis King talks about the need to introduce harsher measures and what worries him most as COVID-19 spreads.,2020-03-24 12:43:00,P.E.I. Premier Dennis King spoke to CBC Radio: Island Morning host Mitch Cormier on the phone Tuesday morning for an update on the need to introduce harsher measures and what worries him most as COVID-19 spreads. Here is that conversation,P.E.I. Premier Dennis King provides an update on the fight against COVID-19,edited for clarity. Q: There was a change in tone yesterday from asked to self-isolate to telling people to self-isolate. Why did you take that step? Theres just growing recognition — and I think admittedly a frustration
"",2020-03-14 17:01:00,1 new case in Burlington,Hamilton Public Health still doesn’t know if the baby’s parents are infected — and it don’t know if any of the other people with the novel coronavirus were in contact with others.,4 new cases of COVID-19 confirmed in Hamilton,Five new cases of COVID-19 cases have been confirmed in the Hamilton area as of Saturday evening. Four of the new cases are in Hamilton and one is in the Halton region. A three-month-old child
"",Canadian airports are poised to lose 1.3 billion amid an ongoing global travel collapse triggered by COVID-19,2020-03-17 19:16:00,says the group representing the countrys airports.,Airport industry group asks transport minister for financial relief due to collapse in travel demand,Canadian airports are poised to lose 1.3 billion amid an ongoing global travel collapse triggered by COVID-19
Cbc News,until April 5,move to rear-door boarding,2020-03-19 21:19:00,LTC to waive fares,Londons transit system will waive fares and move to rear-door boarding starting Friday and continuing through to April 5 as a result of the COVID-19 outbreak.
Cbc Reporter,Local Cbc Platforms. Her Cbc Column Reconcile This Tackles The Tensions Between Indigenous People,Current Affairs Pieces Are Featured On National,Institutions In B.C.,Angela Sterritt Is A Journalist The Gitxsan Nation. SterrittS News,Pause sweat lodges and pipe ceremonies
Cbc News,As governments across the world respond to the spread of the novel coronavirus,2020-03-16 08:00:00, individuals have reacted with solidarity,How Canadians are helping each other amid the COVID-19 outbreak, offering support to neighbours within communities and across the country.
"",Italy’s death toll now exceeds 1,2020-03-16 08:00:00,800 people,Why Italy was hit so hard and so fast by COVID-19,the highest anywhere in the world outside China. Experts say Canada can take lessons from what happened there.
Cbc News,area,Ont.,2020-03-17 17:36:00,3 new cases of COVID-19 in Kingston,Two women and a man who had recently returned to the Kingston
The Canadian Press,2020-03-13 19:31:00,PBO says in new report,Parliaments spending watchdog says a series of rail blockades last month will leave a minimal dent in the pace of economic growth.,Minimal hit to economic growth from rail blockades,Parliaments spending watchdog says a series of rail blockades last month will leave a minimal dent in the pace of economic growth. The report today estimates the blockades will shave two-tenths of a percentage point off economic growth for the first quarter
"",2020-03-21 18:28:00,says health minister as B.C. cases rise to 424,This is our chance to alter the course of this epidemic,Efforts to stop coronavirus greatest fight of our time,says B.C. provincial health officer Dr. Bonnie Henry. Its in our hands right now.
Jennifer Sweet Is A Reporter With Cbc Based In Fredericton. She Can Be Reached At Or Jennifer.Sweet Cbc.Ca.,A number of financial assistance programs are available to people who aren’t working due to the COVID-19 outbreak,2020-03-24 12:00:00,but some say more needs to be done for those who work for themselves or run a small business.,Who is covered and who is left out when it comes to COVID-19 financial relief,A number of financial assistance programs are available to people who arent working due to the COVID-19 outbreak
"",2020-03-24 12:00:00,thousands of jobs delayed in Alberta oilsands,Floundering oil prices and the shutdown of much of the economy have caused oilsands companies to lay off workers and delay projects.,Hundreds laid off,Floundering oil prices and the shutdown of much of the economy have caused oilsands companies to lay off workers and delay projects.  Jay Bueckert
Cbc News,In todays Morning Brief,2020-03-13 10:39:00,financial experts offer suggestions for investors amid the turmoil on stock markets. We also have stories on the prime ministers wife,Get informed on the top stories of the day in one quick scan,Sophie Gregoire Trudeau
Cbc News,2020-03-15 14:09:00,bringing provincial total to 146,Ontario announced 43 new confirmed cases of COVID-19 on Sunday morning,Ontario confirms 43 new COVID-19 cases,bringing the provincial total to 146.
"",The federal government is set to announce a massive aid package worth more than 25 billion to help Canadians and business get through the COVID-19 crisis,2020-03-17 14:37:00,CBC News-Radio Canada has learned. The billions in spending will help Canadians make ends meet at a time when they could face lost wages due to widespread closures,Government set to announce 25B aid package to help Canadians through COVID-19 crisis, and will help businesses bridge through the emergency period.
Cbc News,Organizers of the 2022 Arctic Winter Games say they want to build on some of the work done ahead of the Whitehorse games,2020-03-15 14:00:00,and ensure that not all planning went to waste.,Next Arctic Winter Games to build on amazing Whitehorse plans,Organizers of the 2022 Arctic Winter Games say they want to build on some of the work done ahead of the 2020 Whitehorse games
Cbc News,businesses,St. Johns offer tax relief for residents,2020-03-23 17:09:00,Paradise,The Town of Paradise is the first municipality on the northeast Avalon to offer its residents more time to pay their taxes
The Associated Press,Italy ordered the closure of all shops Thursday,2020-03-11 11:03:00,except for pharmacies and those selling food,Coronavirus: WHO calls COVID-19 outbreak a pandemic as Italy orders most stores to close,to curb the spread of coronavirus. Meanwhile
The Associated Press,Italy ordered the closure of all shops Thursday,2020-03-11 11:03:00,except for pharmacies and those selling food,Coronavirus: WHO calls COVID-19 outbreak a pandemic as Italy orders most stores to close,to curb the spread of coronavirus. Meanwhile
Cbc News,2020-03-19 12:00:00,2020,Eight people have now died of COVID-19 in British Columbia and the total number of confirmed cases has risen to 271.,What you need to know about COVID-19 in B.C. on March 19,THE LATEST:  One additional death at the Lynn Valley Care Centre bringing total number of deaths to eight. B.C. has confirmed a total of 271 cases of COVID-19. 17 people are in hospital. Nine in intensive care. Five have fully recovered. Dr. Bonnie Henry stresses that social distancing measures are not optional The B.C. government has declared a provincial state of emergency. The City of Vancouver officially declares local state of emergency. The prime minister said social distancing measures could last weeks to months.   ​​​​​​What you need to know today An additional resident of North Vancouvers Lynn Valley Care Centre has died
The Associated Press,The announcement made during a late-night news conference came as officials said 10 more Coronavirus cases had been reported in Michigan,2020-03-13 03:43:00,raising the state’s tally to 12. Already,Governor closes all Michigan schools amid COVID-19 scare,some K-12 schools had begun announcing weekslong closures and others began training staff to potentially move to online learning only.
Cbc News,In a joint statement issued Thursday evening,2020-03-13 10:51:00,the Canadian Council of Imams and the Muslim Medical Association of Canada recommended that sermons be suspended indefinitely,Muslim groups urge mosques to suspend Friday prayer services amid coronavirus fears,including today.
"",virtual tours are your best companions during this pandemic,podcasts,2020-03-14 08:00:00,QuarantineAndChill: Streaming,As museums close
Aidan Geary Is A Journalist At Cbc Manitoba. Connect With Her At Aidan.Geary Cbc.Ca.,2020-03-15 11:00:00,and why youre being asked to do it,As Manitoba confirms its first cases of the new coronavirus,Keep your distance: What social distancing means,public health officials are urging every Manitoban to play their part in slowing the virus’s spread.
Cbc News,Essex County Warden Gary McNamara declared a state of emergency Sunday afternoon to COVID-19 at the Essex County Civic Centre.,2020-03-22 22:28:00,Essex County Warden Gary McNamara declared a state of emergency Sunday afternoon in response to COVID-19 at the Essex County Civic Centre. He urged local residents to stay at home,Essex County Warden declares a state of emergency for all seven municipalities in response to COVID-19,even those who are healthy
Cbc News,A Google site will be used for the remainder of the school year,2020-03-23 08:58:00,but teachers will not be expected to give out grades.,School district launches online learning resource for stay-at-home students,The Newfoundland and Labrador English School District has launched a resource for parents and students to continue learning for the rest of the hampered school year. The platform is called Learning at Home: Good at Learning-Good at Life
"",2020-03-18 23:16:00,public-sector jobs paused amidst COVID-19 outbreak,The Alberta Union of Provincial Employees (AUPE),Cuts to Alberta nurses,United Nurses of Alberta and Alberta Health Services have agreed to suspend contract negotiations and looming layoffs amidst the outbreak of COVID-19.
Cbc News,2020-03-23 11:09:00,as services reduced due to COVID-19,The Windsor-Essex County Humane Society is asking residents to have an emergency plan in place for their pets during the COVID-19 pandemic,Have a plan for pets says Humane Society,as the organization limits services to help stop the spread of the virus.
Janice Johnston Is An Award-Winning Journalist In Edmonton Who Has Covered The Courts,Inmate population vulnerable during COVID-19 pandemic,You Can Reach Her At Janice.Johnston Cbc.Ca Or On Twitter At,lawyers say,Crime For More Than Two Decades.,2020-03-19 00:10:00
"",2020-03-18 22:28:00,premier says,Albertans who have no income while coronavirus pushes them into isolation can apply for one-time cash relief from the Alberta government.,Alberta oil and gas on life support in wake of economic blows,Albertans who have no income while the COVID-19 pandemic pushes them into isolation can apply for one-time cash relief from the Alberta government. Premier Jason Kenney said Wednesday the province will next week hand out 573 cash payments per week to people who are in isolation for two weeks with no pay or other benefits. But as the premier announced emergency spending to keep potentially infectious people home and stave off immediate financial hardship
"",Ontario nurses are now being told to self-isolate upon returning from travel,2020-03-18 22:25:00,this after the government initially told them to come into work as long as they didnt feel sick.,Ontario now telling nurses to quarantine if returning from travel,Ontario nurses are now being told to self-isolate upon returning from travel
Cbc News,Albertans are being offered a new tool for getting medical advice without having to go to a doctors office — an option thats suddenly become more desirable amid the COVID-19 emergency.,2020-03-19 17:50:00,Albertans are being offered a new tool for getting medical advice without having to go to a doctors office — an option thats suddenly become more desirable amid the COVID-19 emergency. Using the downloadable app Babylon,New smartphone app gives Albertans access to virtual health care during COVID-19 pandemic,developed by Telus Health
Jennifer Sweet Is A Reporter With Cbc Based In Fredericton. She Can Be Reached At Or Jennifer.Sweet Cbc.Ca.,A number of financial assistance programs are available to people who aren’t working due to the COVID-19 outbreak,2020-03-24 12:00:00,but some say more needs to be done for those who work for themselves or run a small business.,Who is covered and who is left out when it comes to COVID-19 financial relief,A number of financial assistance programs are available to people who arent working due to the COVID-19 outbreak
"",2020-03-24 12:00:00,thousands of jobs delayed in Alberta oilsands,Floundering oil prices and the shutdown of much of the economy have caused oilsands companies to lay off workers and delay projects.,Hundreds laid off,Floundering oil prices and the shutdown of much of the economy have caused oilsands companies to lay off workers and delay projects.  Jay Bueckert
"",Quebec will be extending tax filing season to ease any pressure on residents coping with the fallout of the COVID-19 outbreak. Heres what else you need to know.,2020-03-17 10:27:00,74 confirmed cases in Quebec as of Tuesday,Quebec moves tax deadline to June as COVID-19 cases rise,up from 50 a day earlier and 39 on Sunday. More than 3
Cbc News,2020-03-18 20:43:00,leaders are limiting access to communities,Up to 10 people can be seen living in a house at once in coastal Labrador communities,In northern Labrador,such as Nain.
Cbc News,In a joint statement issued Thursday evening,2020-03-13 10:51:00,the Canadian Council of Imams and the Muslim Medical Association of Canada recommended that sermons be suspended indefinitely,Muslim groups urge mosques to suspend Friday prayer services amid coronavirus fears,including today.
Cbc News,2020-03-15 08:00:00,March 15,CBC Ottawas latest roundup of key points to know during the coronavirus pandemic.,What you need to know about COVID-19 in Ottawa Sunday,Recent developments:  Ottawas chief medical officer says there is likely community transmission of COVID-19 in Ottawa. 5 new cases of COVID-19 were confirmed in the city Sunday. CHEO and The Ottawa Hospital have changed their visitor policies
"",The Lillian Fraser Memorial Hospital in Tatamagouche has closed its emergency department until further notice. The Nova Scotia Health Authority says it is not related to COVID-19.,2020-03-22 17:46:00,A rural Nova Scotia hospital has closed its emergency department until further notice. On Sunday,Tatamagouche hospital closes emergency department until further notice,the Nova Scotia Health Authority said in a release that Lillian Fraser Memorial Hospital Emergency Department in Tatamagouche is temporarily closing at 8 a.m. Monday
Cbc News,2020-03-15 08:00:00,March 15,CBC Ottawas latest roundup of key points to know during the coronavirus pandemic.,What you need to know about COVID-19 in Ottawa Sunday,Recent developments:  Ottawas chief medical officer says there is likely community transmission of COVID-19 in Ottawa. 5 new cases of COVID-19 were confirmed in the city Sunday. CHEO and The Ottawa Hospital have changed their visitor policies
"",Property management company Colliers Canada cleansed portions of a downtown Winnipeg office building after the firm says it was told of a COVID-19 case at the tower.,2020-03-17 02:40:00,Property management company Colliers Canada cleansed portions of a downtown Winnipeg office building after the firm says it was told of a COVID-19 case at the tower. Some offices and communal areas within 330 St. Mary Avenue were sanitized after a tenant informed Colliers on Sunday about one confirmed and one possible case of COVID-19,Parts of downtown Winnipeg office tower cleansed after property manager told of COVID-19 case,said Darren Klassen
Cbc News,2020-03-18 20:43:00,leaders are limiting access to communities,Up to 10 people can be seen living in a house at once in coastal Labrador communities,In northern Labrador,such as Nain.
"",2020-03-12 19:50:00,Disneyland shut down due to COVID-19 as Hollywood clears release calendar,The entertainment industry is facing a shutdown in the coming weeks due to COVID-19.,Broadway,Shutdowns in the entertainment industry from coronavirus fears are leading to the closures of major venues such as Disneyland and Broadways theatres
Cbc News,The top doctor in British Columbia says the provinces lucrative cruise ship season should be delayed to protect against the spread of the novel coronavirus,2020-03-10 16:33:00,dealing another blow to an already anxious industry and tourism sector.,Tourism fears grow as B.C.s top doctor advises delay to cruise-ship season amid coronavirus spread,The top doctor in British Columbia says the provinces lucrative cruise-ship season should be delayed to protect against the spread of the novel coronavirus
Ariana Kelland Is A Reporter With The Cbc Newfoundland,Follow Ariana Kelland On Twitter,More This Author,What parents paying for child care in N.L. need to know,Labrador Bureau In St. JohnS.,2020-03-24 13:36:00
Taryn Grant Is A Halifax-Based Reporter For Cbc Nova Scotia. Get In Touch With Her Email At Taryn.Grant Cbc.Ca,The East Coast Prison Justice Society is asking that intermittent inmates,2020-03-16 19:55:00,primary support parents and inmates at high-risk for serious infections to be released into the community during the COVID-19 pandemic.,Advocates call for temporary release of some inmates amid COVID-19 pandemic,Advocates are calling for the temporary release of some inmates to prevent an outbreak of COVID-19 in Nova Scotias jails. East Coast Prison Justice Society and four other advocacy groups sent a letter with the request to the provincial ministers for health and justice
Cbc News,A Timmins woman says she had no where to turn. Lisa Patterson couldnt quit her job working at the drive-thru of a local Tim Hortons,2020-03-23 10:00:00,even though she was uncomfortable being in such close proximity to colleagues and customers. She felt vulnerable about getting COVID-19,Timmins drive-thru worker fearful of catching COVID-19,especially since she has an underlying medical condition. But her family needed her pay cheque to get by.
Thomson Reuters,2020-03-06 11:57:00,000 worldwide,The number of people infected with the novel coronavirus has surpassed 100,Number of COVID-19 cases surpasses 100,000 as of Friday afternoon
Cbc News,Albertas premier and chief medial officer warned the public Wednesday that the province may not reach the peak of the current coronavirus outbreak for weeks,2020-03-18 20:30:00,and that drastic measures to curb the spread of the virus may be needed until the end of May.,Premier and chief medical officer warn peak of COVID-19 outbreak may be weeks away,Albertas premier and chief medical officer warned the public Wednesday that the province may not reach the peak of the current coronavirus outbreak for weeks
"",2020-03-19 19:56:00,AHS says,Alberta Health Services says a Calgary dental-lab owner who allegedly refused to self-isolate after attending a Vancouver dental conference linked to several positive COVID-19 cases is now in self-isolation and their lab is closed as a precaution.,Calgary dental-lab owner now self-isolating after public complaint filed,Alberta Health Services says a Calgary dental-lab owner who allegedly refused to self-isolate after attending a Vancouver dental conference linked to several positive COVID-19 cases is now in self-isolation and their lab is closed as a precaution.   Earlier today
Business Reporter,Contact,Consumer News.,Sophia.Harris Cbc.Ca,Sophia Harris Covers Business,More This Author
Defence,Foreign Policy Parliament Hill For Over A Decade. Among Other Assignments,Based In Ottawa. He Has Covered The Canadian Military,He Spent A Total Of Months On The Ground Covering The Afghan War For The Canadian Press. Prior To That,Murray Brewster Is Senior Defence Writer For Cbc News,He Covered Defence Issues
"",2020-03-19 15:24:00,and are we doing enough?,Here are some key questions (and answers) to what experts say is a crucial part of containing COVID-19.,How testing for COVID-19 works in Quebec,The World Health Organization issued a plea to countries across the globe this week: Test
A.T. Kingsmith Is An Anxiety Researcher,Nothing spreads like fear: COVID-19 and the dangers of emotional contagion,Public Administration At Ryerson University.,2020-03-19 08:00:00,Mixed Media Documentarian Who Teaches In The Department Of Politics,The transmission of fear infects peoples feelings and actions
Reporter Editor,N.B. COVID-19 roundup: Higgs steps up plea for caution as 3 new cases are reported,Elizabeth.Fraser Cbc.Ca,2020-03-18 15:29:00,Elizabeth Fraser Is A Reporter Editor With Cbc New Brunswick Based In Fredericton. SheS Originally Manitoba. Story Tip,Three new presumptive cases of COVID-19 have been diagnosed in the past 24 hours
"",2020-03-17 08:00:00,Trump likely factors behind exemption of Americans from travel restrictions,By stopping short of barring travellers from the U.S.,Trade,the federal government drew criticism that its travel ban creates a loophole that risks further spread of the coronavirus.
Aidan Geary Is A Journalist At Cbc Manitoba. Connect With Her At Aidan.Geary Cbc.Ca.,2020-03-15 11:00:00,and why youre being asked to do it,As Manitoba confirms its first cases of the new coronavirus,Keep your distance: What social distancing means,public health officials are urging every Manitoban to play their part in slowing the virus’s spread.
Cbc News,2020-03-18 17:09:00,Ont. COVID-19 assessment centre to open Thursday,The Middlesex-London Health Unit is opening a second COVID-19 assessment centre at the Carling Heights Optimist Community Centre,Second London,near the intersection of Oxford and Adelaide.
